Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoConformidadeOperacionalidade
9611;Barragem Candonga;Yan Bittencourt nascimento ;***;-15°51'48.376";-56°13'29.773";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;8,86;172.143,07;5 - Alteamento por linha de centro;N/A;N/A;Não;Sem emergência;-;-
8498;Barragem Captação de Água;MINERACAO USIMINAS S.A.;12.056.613/0001-20;-20°10'09.300";-44°27'03.170";Sul do Equador;ITATIAIUÇU;MG;Argila Arenosa;4,46;14.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8564;BARRAGEM CASA DE PEDRA;CSN MINERACAO S.A.;08.902.291/0001-15;-20°30'21.000";-43°53'00.000";Sul do Equador;CONGONHAS;MG;Minério de Ferro;84,00;65.374.575,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9439;Barragem CBC;Companhia Brasileira do Cobre;87.678.207/0001-06;-30°55'11.200";-53°25'04.950";Sul do Equador;CAÇAPAVA DO SUL;RS;Arenito;10,00;11.000.000,00;0 - Etapa única;Médio;Médio;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;-
8782;Barragem Central;SAFM MINERACAO LTDA;09.325.670/0001-52;-20°16'22.353";-43°53'42.615";Sul do Equador;ITABIRITO;MG;Minério de Ferro;20,00;277.758,77;10 - Alteamento a montante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9752;BARRAGEM COOP 01;COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO;26.729.643/0001-64;-15°45'45.420";-56°15'53.860";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Secundário;6,00;145.668,73;5 - Alteamento por linha de centro;N/A;N/A;Não;Sem emergência;-;-
8413;Barragem Cruz de Malta;Indústria Carbonífera Rio Deserto Ltda;83.286.500/0001-69;-28°28'23.000";-49°27'29.000";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;21,00;59.384,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
10118;BARRAGEM D4;INDUSTRIAS NUCLEARES DO BRASIL S.A - INB;00.322.818/0036-50;-21°57'58.000";-46°30'40.000";Sul do Equador;CALDAS;MG;;7,00;351.670,50;0 - Etapa única;Alto;Médio;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;-
8631;Barragem da Cava;CADAM S.A.;04.788.980/0001-90;-00°53'51.673";-52°22'44.295";Sul do Equador;VITÓRIA DO JARI;AP;Caulim;25,00;2.357.000,00;2 - Alteamento a jusante;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8843;Barragem da Grota;SAFM MINERACAO LTDA;09.325.670/0001-52;-20°16'07.500";-43°53'35.800";Sul do Equador;ITABIRITO;MG;Minério de Ferro;13,50;48.972,55;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8627;Barragem da Mina II;COMPANHIA MINERADORA DO PIROCLORO DE ARAXA;17.806.779/0001-30;-19°39'25.200";-46°56'24.650";Sul do Equador;ARAXÁ;MG;Minério de Nióbio;25,00;22.000,00;0 - Etapa única;Baixo;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9124;BARRAGEM DA USINA;Empresa de Mineração e Pesquisa do Amapá;14.572.101/0001-41;02°19'16.300";-51°41'26.100";Norte do Equador;CALÇOENE;AP;Minério de Ouro Primário;10,00;80.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8849;Barragem de Aredes;SAFM MINERACAO LTDA;09.325.670/0001-52;-20°16'32.800";-43°53'53.600";Sul do Equador;ITABIRITO;MG;Minério de Ferro;17,00;148.654,34;10 - Alteamento a montante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8926;BARRAGEM DE CLARIFICAÇÃO;AGIS MINERACAO LTDA.;60.874.229/0001-87;-23°25'14.000";-46°44'09.800";Sul do Equador;SÃO PAULO;SP;Argila;25,00;659.323,59;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
5405;Barragem de Clarificação de Água;Zamapá Mineração S.a.;05.857.559/0001-56;01°00'07.100";-51°07'44.000";Norte do Equador;FERREIRA GOMES;AP;Minério de Ferro;8,00;42.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8280;BARRAGEM DE CONTENÇÃO DE ÁGUAS PLUVIAIS-DIQUE D-03;SICAL INDUSTRIAL LTDA.;19.416.627/0001-56;-20°01'31.010";-44°00'48.700";Sul do Equador;BELO HORIZONTE;MG;Areia Quartzosa;14,00;10.450,12;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8741;BARRAGEM DE CONTENÇÃO DE REJEITOS;ITAFOS ARRAIAS MINERACAO E FERTILIZANTES S.A.;05.919.578/0001-60;-12°53'44.948";-46°49'05.224";Sul do Equador;ARRAIAS;TO;Fosfato;22,00;4.136.059,54;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9134;Barragem de Contenção de Sedimentos do Josino;FERRO + MINERACAO S.A.;21.256.870/0001-04;-20°25'32.160";-43°51'52.890";Sul do Equador;OURO PRETO;MG;Minério de Ferro;9,40;24.062,18;2 - Alteamento a jusante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8256;Barragem de Contenção de Sólidos Carreados;EXTRATIVA MINERAL S/A;17.174.889/0001-26;-20°06'36.060";-43°54'11.690";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;8,00;28.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9280;Barragem de Decantação de Água e Polpa - EBII - Mineroduto;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;-20°22'19.041";-42°21'17.308";Sul do Equador;MATIPÓ;MG;Argila;17,00;120.942,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8780;BARRAGEM DE DEPOSIÇÃO DE LAMA;XILOLITE S/A;62.477.088/0001-94;-14°05'52.550";-41°41'21.140";Sul do Equador;BRUMADO;BA;Argila;7,00;60.277,00;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
8704;BARRAGEM DE FINOS II;SALOBO METAIS S/A;33.931.478/0001-94;-05°49'26.300";-50°29'29.100";Sul do Equador;MARABÁ;PA;Minério de Cobre;13,00;891.538,00;0 - Etapa única;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8182;BARRAGEM DE FLOTAÇÃO;SANTA LUZ DESENVOLVIMENTO MINERAL LTDA;22.103.965/0001-42;-11°00'12.400";-39°17'13.300";Sul do Equador;SANTALUZ;BA;Minério de Ouro Primário;25,00;4.006.622,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8773;BARRAGEM DE GABIÕES;EMPRESA DE MINERACAO ESPERANCA S A;33.300.971/0001-06;-20°06'56.500";-44°13'06.100";Sul do Equador;BRUMADINHO;MG;Minério de Ferro;5,00;30.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8765;Barragem de Germano;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;-20°12'59.400";-43°28'04.600";Sul do Equador;MARIANA;MG;Itabirito;163,00;129.590.000,00;10 - Alteamento a montante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8183;BARRAGEM DE LIXIVIAÇÃO;SANTA LUZ DESENVOLVIMENTO MINERAL LTDA;22.103.965/0001-42;-11°00'13.100";-39°18'03.000";Sul do Equador;SANTALUZ;BA;Minério de Ouro Primário;30,00;1.727.483,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8901;Barragem de Mercês;Bauminas Mineração Ltda;19.534.650/0001-45;-21°07'57.271";-43°21'01.241";Sul do Equador;MERCÊS;MG;Bauxita Grau Não Metalúrgico;29,50;237.000,00;0 - Etapa única;Baixo;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
10030;BARRAGEM DE MINERAÇÃO;COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO;26.729.643/0001-64;-15°47'48.210";-56°16'15.760";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Areia;7,00;48.872,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9667;Barragem de Mineração-CPM;NORMA ARGES OLIVA;***;-16°16'55.770";-56°37'02.010";Sul do Equador;POCONÉ;MT;Areia;7,00;249.373,00;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Enviado
10097;Barragem de Rejeito - Mineração Ouro Fino;COOPERATIVA DE EXTRACAO MINERAL DE MATO GROSSO;23.300.330/0001-06;-15°47'35.720";-56°10'54.330";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8953;Barragem de Rejeito 01;A R WEBER;05.742.530/0001-29;-15°46'29.100";-56°17'08.600";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Areia;7,50;54.608,00;5 - Alteamento por linha de centro;N/A;N/A;Não;Sem emergência;-;-
9425;Barragem de Rejeito 1;Valdinei Mauro de Souza;***;-16°18'18.490";-56°43'14.198";Sul do Equador;POCONÉ;MT;Minério de Ouro Primário;18,00;764.150,00;5 - Alteamento por linha de centro;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
10007;Barragem de Rejeito Almas;AURA ALMAS MINERACAO S.A.;08.213.823/0001-07;-11°43'07.021";-47°11'20.407";Sul do Equador;ALMAS;TO;Minério de Ouro Primário;13,00;182.829,50;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
10179;Barragem de Rejeito Capim Gold 2;EVALDO TESCHIMA LEITE;24.588.183/0001-76;-15°56'07.460";-56°28'04.490";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9459;Barragem de Rejeito Estrela;Antônio da Cunha Barbosa Filho;***;-15°39'01.002";-56°23'13.280";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;18,00;1.024.978,84;2 - Alteamento a jusante;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9460;Barragem de Rejeito Estrela 02;Antônio da Cunha Barbosa Filho;***;-15°39'22.050";-56°23'07.350";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;9,00;282.779,28;2 - Alteamento a jusante;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9018;Barragem de Rejeito Estrela 03;Antônio da Cunha Barbosa Filho;***;-15°39'16.700";-56°23'19.550";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;10,00;95.000,00;5 - Alteamento por linha de centro;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9864;Barragem de Rejeito Estrela 04;HEUREKA MINERACAO LTDA;35.343.577/0001-80;-15°39'22.840";-56°22'56.420";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8972;Barragem de Rejeito Max;Marcio Nascimento;***;-15°53'44.100";-56°11'07.400";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Areia;16,03;1.801.908,94;2 - Alteamento a jusante;Médio;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8723;Barragem de rejeito não magnético 02;LARGO VANADIO DE MARACAS S.A;15.191.786/0001-49;-13°41'12.251";-40°41'29.982";Sul do Equador;MARACÁS;BA;Minério de Vanádio;19,45;658.057,78;2 - Alteamento a jusante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8724;Barragem de rejeito não magnético 03;LARGO VANADIO DE MARACAS S.A;15.191.786/0001-49;-13°41'14.100";-40°41'20.900";Sul do Equador;MARACÁS;BA;Minério de Vanádio;20,50;529.848,06;2 - Alteamento a jusante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
9383;Barragem de Rejeito Não Magnético 04;LARGO VANADIO DE MARACAS S.A;15.191.786/0001-49;-13°41'23.770";-40°41'29.300";Sul do Equador;MARACÁS;BA;Minério de Vanádio;50,00;1.749.457,31;2 - Alteamento a jusante;Baixo;Médio;Sim;Sem emergência;2º Campanha 2023 - Atestado;-
8707;BARRAGEM DE REJEITOS ;SALOBO METAIS S/A;33.931.478/0001-94;-05°46'40.800";-50°31'22.500";Sul do Equador;MARABÁ;PA;Minério de Cobre;72,00;111.000.268,63;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
3831;Barragem de Rejeitos;Serra Pelada Companhia de Desenvolvimento Mineral;04.828.209/0001-07;-05°56'02.100";-49°40'23.300";Sul do Equador;CURIONÓPOLIS;PA;Minério de Ouro Primário;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8929;Barragem de Rejeitos;ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;02.359.572/0004-30;-18°51'54.800";-43°24'29.200";Sul do Equador;CONCEIÇÃO DO MATO DENTRO;MG;Minério de Ferro;49,00;136.789.824,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8955;Barragem de Rejeitos;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-20°08'15.300";-44°23'46.200";Sul do Equador;ITATIAIUÇU;MG;Minério de Ferro;85,00;5.028.220,00;10 - Alteamento a montante;Alto;Alto;Sim;Nível de Emergência 3;2º Campanha 2023 - Não Atestado;1º Campanha 2023 - Atestado
8569;BARRAGEM DE REJEITOS;Cimento Tupi S.a.;33.039.223/0001-11;-22°27'18.200";-44°17'10.300";Sul do Equador;QUATIS;RJ;Argila Arenosa;19,00;204.000,00;0 - Etapa única;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
10117;Barragem de Rejeitos - BAR;INDUSTRIAS NUCLEARES DO BRASIL S.A - INB;00.322.818/0036-50;-21°58'14.740";-46°29'38.080";Sul do Equador;CALDAS;MG;Minério de Urânio;43,28;2.500.000,00;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Atestado;-
9012;Barragem de Rejeitos Bom Futuro;JOSE MARIA OTAVIO MARTINS DUARTE;***;-15°39'33.400";-56°17'06.300";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Rocha Aurífera;15,00;1.183.119,15;2 - Alteamento a jusante;Médio;Baixo;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8669;Barragem de Rejeitos de Irecê;COMPANHIA BAIANA DE PESQUISA MINERAL CBPM;13.554.910/0001-68;-11°18'43.000";-41°50'22.000";Sul do Equador;IRECÊ;BA;Fosfato;4,00;235.467,89;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9147;Barragem de Rejeitos do Córrego Baco Pari;Mineração Maracá Industria e Comercio Sa;86.902.053/0001-13;-14°12'21.000";-49°24'22.200";Sul do Equador;ALTO HORIZONTE;GO;Minério de Cobre;49,96;245.746.810,00;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9027;BARRAGEM DE REJEITOS PGDM;PILAR DE GOIAS DESENVOLVIMENTO MINERAL LTDA;21.823.063/0001-18;-14°48'36.600";-49°32'26.400";Sul do Equador;PILAR DE GOIÁS;GO;Minério de Ouro Primário;41,00;8.942.767,04;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9784;Barragem de Rejeitos SB 02;ROSEMEIRE BENEDETTI ALVES;***;-16°15'39.840";-56°35'50.470";Sul do Equador;POCONÉ;MT;Aluvião Aurífero;14,00;605.643,64;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8371;Barragem de Sedimentos da Pedreira Itapeti - BA1;EMBU S A ENGENHARIA E COMERCIO;61.322.558/0001-88;-23°29'49.800";-46°14'38.000";Sul do Equador;MOGI DAS CRUZES;SP;Granito;27,36;375.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8374;Barragem de Sedimentos da Pedreira Itapeti - BA2;EMBU S A ENGENHARIA E COMERCIO;61.322.558/0001-88;-23°29'47.900";-46°14'50.400";Sul do Equador;MOGI DAS CRUZES;SP;Granito;9,64;154.433,29;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8367;Barragem de Sedimentos da Pedreira Juruaçu - BA4;EMBU S A ENGENHARIA E COMERCIO;61.322.558/0001-88;-23°24'34.400";-46°43'52.400";Sul do Equador;SÃO PAULO;SP;Granito;45,00;3.190.000,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9304;BARRAGEM DIQUE 2;MINAR MINERACAO AREDES LTDA;20.066.908/0001-05;-20°17'09.506";-43°53'54.556";Sul do Equador;ITABIRITO;MG;Minério de Ferro;7,81;40.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9355;Barragem do Bandeira;BURITIRAMA MINERACAO S.A.;27.121.672/0001-01;-05°30'45.000";-50°13'21.000";Sul do Equador;MARABÁ;PA;Minério de Manganês;15,60;1.724.296,94;2 - Alteamento a jusante;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Atestado
8880;BARRAGEM DO BURACO;CMOC BRASIL MINERACAO, INDUSTRIA E PARTICIPACOES LTDA.;26.108.898/0001-00;-18°09'45.000";-47°50'43.500";Sul do Equador;OUVIDOR;GO;Rocha Fosfática;70,00;85.000.000,00;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8637;Barragem do Felipe;CADAM S.A.;04.788.980/0001-90;-00°52'58.400";-52°22'52.000";Sul do Equador;VITÓRIA DO JARI;AP;Caulim;13,00;300.000,00;0 - Etapa única;Médio;Médio;Sim;Sem emergência;-;-
9296;Barragem do Fundão;AVG EMPREENDIMENTOS MINERARIOS S.A.;16.565.897/0001-30;-19°49'17.090";-43°43'01.480";Sul do Equador;SABARÁ;MG;;9,00;20.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8576;BARRAGEM DO LAGARTO;CSN MINERACAO S.A.;08.902.291/0001-15;-20°27'05.947";-43°54'23.637";Sul do Equador;CONGONHAS;MG;Cascalho;8,00;210.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8643;Barragem do Mirante I e II;CADAM S.A.;04.788.980/0001-90;-00°53'51.400";-52°26'30.500";Sul do Equador;ALMEIRIM;PA;Caulim;35,00;4.500.000,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8639;Barragem do Muriacá;CADAM S.A.;04.788.980/0001-90;-00°53'38.500";-52°21'52.500";Sul do Equador;VITÓRIA DO JARI;AP;Caulim;10,00;100.000,00;0 - Etapa única;Baixo;Médio;Sim;Sem emergência;-;-
9263;BARRAGEM DO SABÃO I;GICS Indústria Comércio e Serviços S.a.;00.546.997/0001-80;-19°02'52.200";-46°43'26.400";Sul do Equador;SERRA DO SALITRE;MG;Rocha Fosfática;54,00;21.000.000,00;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9376;Barragem do Serginho;SERGIO DA SILVA;***;-15°55'18.280";-56°09'47.540";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;30,00;2.100.000,00;2 - Alteamento a jusante;Alto;Médio;Sim;Nível de Emergência 1;2º Campanha 2023 - Atestado;-
9136;BARRAGEM DO SOSSEGO;SALOBO METAIS S/A;33.931.478/0001-94;-06°25'44.792";-50°04'12.554";Sul do Equador;CANAÃ DOS CARAJÁS;PA;Minério de Cobre;42,10;135.927.132,21;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
10185;Barragem do Vené II;MINERACAO AURIZONA S/A;42.422.048/0001-38;-01°18'34.536";-45°46'03.956";Sul do Equador;GODOFREDO VIANA;MA;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
8690;BARRAGEM DO VIGIA;CSN MINERACAO S.A.;08.902.291/0001-15;-20°26'16.735";-43°50'02.435";Sul do Equador;OURO PRETO;MG;Minério de Ferro;11,30;812.901,00;10 - Alteamento a montante;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Não Atestado
9297;Barragem dos Coqueiros;AVG EMPREENDIMENTOS MINERARIOS S.A.;16.565.897/0001-30;-19°48'55.680";-43°42'36.490";Sul do Equador;SABARÁ;MG;;7,00;2.500,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
8495;Barragem E;MOSAIC FERTILIZANTES P&K LTDA.;33.931.486/0014-55;-19°39'00.734";-46°57'08.359";Sul do Equador;ARAXÁ;MG;Fosfato;13,96;42.257,88;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8696;BARRAGEM ECOLÓGICA 1;MINERIOS NACIONAL S.A.;09.294.881/0001-75;-20°09'31.827";-43°50'34.785";Sul do Equador;RIO ACIMA;MG;Cascalho;15,00;41.000,00;0 - Etapa única;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9286;Barragem Eixo 1;SAMARCO MINERACAO S.A. EM RECUPERACAO JUDICIAL;16.628.281/0001-61;-20°12'37.720";-43°27'36.410";Sul do Equador;MARIANA;MG;Minério de Ferro;41,00;818.336,79;0 - Etapa única;Baixo;Alto;Sim;Nível de Alerta;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9020;Barragem EPP;MINERACAO APOENA S.A.;10.302.599/0001-71;-15°20'50.445";-59°15'24.414";Sul do Equador;PONTES E LACERDA;MT;Rocha Aurífera;30,50;8.992.719,34;2 - Alteamento a jusante;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8431;Barragem Eustáquio;KINROSS BRASIL MINERACAO S/A;20.346.524/0001-46;-17°08'46.200";-46°54'07.800";Sul do Equador;PARACATU;MG;Minério de Ouro Primário;106,00;415.326.540,00;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
8501;Barragem F;MOSAIC FERTILIZANTES P&K LTDA.;33.931.486/0014-55;-19°39'15.000";-46°57'11.000";Sul do Equador;ARAXÁ;MG;Fosfato;25,00;227.455,79;5 - Alteamento por linha de centro;Baixo;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9747;Barragem Fazenda Aguassu;COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO;26.729.643/0001-64;-15°46'01.150";-56°13'51.980";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9393;BARRAGEM GEOMINAS;Geominas Minerações Ltda.;11.979.744/0001-16;-11°38'50.700";-47°40'36.240";Sul do Equador;NATIVIDADE;TO;;5,00;9.750,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9406;BARRAGEM GEOMINAS-001;Geominas Minerações Ltda.;11.979.744/0001-16;-11°38'57.580";-47°40'34.240";Sul do Equador;NATIVIDADE;TO;;8,00;86.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9407;BARRAGEM GEOMINAS-002;Geominas Minerações Ltda.;11.979.744/0001-16;-11°39'00.010";-47°40'30.010";Sul do Equador;NATIVIDADE;TO;;8,00;70.800,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9650;Barragem I;CELESTA MINERACAO S.A;17.755.975/0001-22;-06°05'11.929";-49°39'08.247";Sul do Equador;CURIONÓPOLIS;PA;Minério de Cobre;3,00;8.000,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
9986;Barragem II;CELESTA MINERACAO S.A;17.755.975/0001-22;-06°05'11.970";-49°39'08.550";Sul do Equador;CURIONÓPOLIS;PA;Minério de Cobre;9,70;64.200,00;0 - Etapa única;N/A;N/A;Não;Sem emergência;-;-
2437;Barragem II Mina Engenho;Massa Falida de Mundo Mineração Ltda.;07.950.015/0001-60;-20°03'46.100";-43°47'41.000";Sul do Equador;RIO ACIMA;MG;Minério de Ouro Primário;40,00;14.160,67;0 - Etapa única;Alto;Alto;Sim;Nível de Emergência 1;2º Campanha 2023 - Não Enviado;1º Campanha 2023 - Não Enviado
9624;Barragem Jatobá;Valdemir Carlos de Souza;***;-16°18'10.180";-56°37'41.511";Sul do Equador;POCONÉ;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9840;Barragem Jauru;RIVER GOLD MINERACAO LTDA;36.617.291/0001-09;-15°39'08.660";-58°32'34.280";Sul do Equador;SÃO JOSÉ DOS QUATRO MARCOS;MT;;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
9806;Barragem JL;Marcus Vítor Nunes Lindote;***;-15°40'33.880";-56°21'56.860";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;3,00;7.548,88;2 - Alteamento a jusante;N/A;N/A;Não;Sem emergência;-;-
9773;BARRAGEM JVR;JOAO ROBERTO CARDOSO;***;-15°32'02.460";-56°03'02.290";Sul do Equador;CUIABÁ;MT;Minério de Ouro Primário;13,00;326.784,00;5 - Alteamento por linha de centro;Médio;Alto;Sim;Sem emergência;2º Campanha 2023 - Atestado;1º Campanha 2023 - Atestado
9748;Barragem Lagoa;COOPERATIVA DE EXTRACAO MINERAL DE NOSSA SENHORA DO LIVRAMENTO;26.729.643/0001-64;-15°47'47.560";-56°16'25.210";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Areia com Minerais Pesados;0;0,00;Indefinido;N/A;N/A;Não;Sem emergência;-;-
